생태구역,정점명,개략위치 설명 ,위도,경도
서해중부 생태구,HC0139, 인천항 중앙부 ,37.49388888888889,126.61777777777776
서해중부 생태구,HC0140,평택항 중앙부 ,36.95916666666667,126.83333333333331
서해중부 생태구,HC0424,대천항 중앙부,36.33166666666667,126.50888888888888
서남해역 생태구,HW0612,목포항 중앙부,34.78527777777778,126.38861111111112
서남해역 생태구,HW0613,여객선터미널 앞,34.778888888888886,126.38055555555556
서남해역 생태구,HW2326, 완도항 중앙부,34.32194444444445,126.75194444444443
대한해협 생태구,HK1126, 여수신항 중앙부 ,34.74722222222222,127.75583333333331
대한해협 생태구,HK1127, 여수신항내 북쪽,34.75138888888889,127.75277777777778
대한해협 생태구,HK1128, 여수신항내 남쪽,34.74305555555556,127.75722222222224
대한해협 생태구,HK1129, 광양만 ,34.862500000000004,127.74027777777778
대한해협 생태구,HK1203, 삼천포항 중앙부,34.919999999999995,128.0825
대한해협 생태구,HK2445, 통영신항 중앙부,34.84166666666667,128.4375
대한해협 생태구,HK2446, 삼덕항 중앙부,34.79527777777778,128.38111111111112
대한해협 생태구,HK2447,장승포항 중앙부,34.86472222222223,128.72722222222222
대한해협 생태구,HK2448,옥포항 중앙부,34.88527777777778,128.71555555555554
대한해협 생태구,HK1334, 마산항 중앙부,35.20555555555556,128.5938888888889
대한해협 생태구,HK1431,부산신항 중앙부,35.074444444444445,128.8013888888889
대한해협 생태구,HK1432,다대포항 ,35.05472222222222,128.98166666666663
대한해협 생태구,HK1433,감천항 안쪽,35.08111111111111,128.99555555555554
대한해협 생태구,HK1434,감천항 중앙부 ,35.06583333333333,129.00222222222223
대한해협 생태구,HK1435,영도대교 부근,35.09305555555556,129.0294444444445
대한해협 생태구,HK1436,영도대교 남방,35.084722222222226,129.03250000000003
대한해협 생태구,HK1437,북항서방,35.103611111111114,129.04833333333332
대한해협 생태구,HK1438,부산북항 중앙부,35.11055555555556,129.0577777777778
대한해협 생태구,HK1439,북항동방,35.123333333333335,129.0638888888889
대한해협 생태구,HK1440,대변항 중앙부,35.22277777777778,129.22861111111112
대한해협 생태구,HK1520,울산항 중앙부,35.51916666666666,129.37861111111113
대한해협 생태구,HK2449,감포항 중앙부,35.80694444444444,129.50555555555556
동해 생태구,HE2548,구룡포항 중앙부,35.98555555555556,129.5563888888889
동해 생태구,HE1612,포항신항 중앙부,36.02388888888889,129.41333333333333
동해 생태구,HE1613,포항구항 중앙부,36.05,129.3777777777778
동해 생태구,HE1701,강구항 중앙부,36.35666666666667,129.39055555555555
동해 생태구,HE2549,축산항 중앙부,36.51,129.44861111111112
동해 생태구,HE2550,후포항 중앙부,36.67833333333333,129.45777777777778
동해 생태구,HE2551,죽변항 중앙부,37.05638888888888,129.42305555555555
동해 생태구,HE2552,임원항 중앙부,37.22777777777778,129.34444444444446
동해 생태구,HE1902,삼척항 중앙부,37.43555555555555,129.19166666666666
동해 생태구,HE2553,동해항 중앙부,37.49666666666667,129.14027777777778
동해 생태구,HE2554,묵호항 중앙부,37.54666666666667,129.11527777777778
동해 생태구,HE2555,주문진항 중앙부,37.89055555555556,128.83138888888888
동해 생태구,HE2556,속초항 중앙부,38.20888888888889,128.5977777777778
동해 생태구,HE2557,속초항 중앙부,38.20305555555556,128.5991666666667
동해 생태구,HE2558,거진항 중앙부,38.44638888888888,128.4597222222222
제주 생태구,HJ2620,제주항 중앙부,33.52611111111111,126.54
제주 생태구,HJ2621,해양경찰서전용부두 인근,33.51972222222222,126.53111111111112
제주 생태구,HJ2622,성산포항 중앙부,33.47083333333334,126.9275
제주 생태구,HJ2623,서귀포항 중앙부,33.23638888888889,126.56527777777778
제주 생태구,HJ2624,서귀포 어선부두,33.24027777777778,126.56
제주 생태구,HJ2625,한림항 중앙부,33.41555555555556,126.25527777777778
제주 생태구,HJ2626,한림항 안쪽,33.418055555555554,126.25972222222222
서해중부 생태구,BC0101,세어도 북방,37.59166666666667,126.5611111111111
서해중부 생태구,BC0102,운겸도 동방,37.5375,126.58611111111112
서해중부 생태구,BC0103,만석부두 인근,37.50666666666667,126.5847222222222
서해중부 생태구,BC0104,인천갑문 앞,37.46527777777778,126.5736111111111
서해중부 생태구,BC0105,인천남항과 팔미도중간,37.41666666666666,126.56666666666666
서해중부 생태구,BC0106,LNG 인수기지 북방,37.375,126.60138888888888
서해중부 생태구,BC0107,소래천 입구,37.34166666666667,126.66111111111113
서해중부 생태구,BC0108,시화방조제선착장 동방,37.32361111111111,126.63194444444444
서해중부 생태구,BC0109,LNG기지 끝단,37.33888888888889,126.57222222222222
서해중부 생태구,BC0110,팔미도 북동방,37.36666666666667,126.52777777777776
서해중부 생태구,BC0111,대부도 타구봉도 북방,37.30916666666666,126.5225
서해중부 생태구,BC0112,팔미도 남서방,37.3575,126.44055555555556
서해중부 생태구,BC0113,자월도 삼각동주 서방,37.32638888888889,126.35333333333332
